BRQ,EXT,SCQ,TER,VIT,ZQW,BRS,BRU,MXP,OLB,STN,KTW,RBA,STR,ZRH,CDT,ZAZ,BBU,CUF,AQJ,BSL,FKB,TFN,SDR,TFS,KUN,LWO,SUF,EIN,AAL,BCN,TGD,AAR,WMI,OMR,KVA,GNB,POZ,TGM,ARN,LGW,SEN,BTS,ABC,CFE,SVG,ARW,JTR,TXL,VLC,SVQ,ZTH,BDS,BUD,CFU,VLL,GOA,MJV,ABZ,CWL,IBZ,SFT,ACE,FMM,LYS,FMO,RDZ,CGN,LIG,BVA,GOT,TIA,BER,LIL,BVE,HAJ,BES,PAD,ATH,HAM,KGS,LIS,GPA,SXB,HAU,FNI,HRK,SXF,MLA,REU,PRG,RVN,CHQ,BFS,OPO,VNO,EMA,CIA,XRY,PSA,NOC,MME,KID,PSR,CIY,VOL,BGY,KIR,MMX,DLE,BHD,TKU,SZG,DLM,GRO,XCR,GRQ,ORK,GRX,WAW,GRZ,SZZ,BHX,SZY,TLL,WRO,TLN,GSE,RHO,PDL,TLS,AGA,TLV,PUF,OSD,RYG,AGH,PDV,OSI,BIO,OSL,AGP,BIQ,AXD,HUY,BZG,PED,SKG,OSR,OST,PEG,FRA,HER,FAO,PUY,TMP,NQY,BZR,NAP,RZE,CLJ,RIX,FRL,NRK,VAR,AHO,MPL,DNR,OTP,NRN,TNG,BJV,GDN,KLR,RJK,TNL,VRN,KLU,KLX,FSC,PFO,LNZ,AYT,ODS,OUD,DOL,VBS,JKG,PGF,MAD,NCE,FCO,MAH,NCL,VST,CND,ERF,VCE,MAN,LPA,OVD,NTE,BLK,BLL,BLQ,LPL,FDH,EBJ,RLG,LPP,HHN,MRS,SNN,VDA,TPS,FUE,EBU,NDR,NUE,MBX,ESU,SOB,JMK,SOF,MST,RMI,PIK,ALC,CPH,FEZ,PIS,RMU,ETM,ILD,LRH,DRS,TRF,LBA,EDI,LBC,BNX,LRT,LBG,TRN,DSA,TRS,BOD,RNS,DBV,SPU,BOH,MUC,BOJ,CQM,AMM,NWI,TBS,TSF,AMS,CAG,LCA,LCJ,TSR,CRA,ANG,CRL,DTM,VGO,INI,KRK,CRV,LTN,INN,EFL,LDE,VXO,OZZ,DUB,INV,PLQ,TTU,AOC,KBP,KSC,AOI,KSD,CSO,EGC,LDY,DUS,TUF,NYO,CCF,PMF,PMI,LUX,LEJ,LUZ,CTA,LEI,PMO,VIE,BRE,BRI,ZAD,GLA,RAK
Brno,Exeter Airport,Santiago Comp.,Lajes Airport,Vitoria (Bilbao),Zweibrucken,Bristol,Brussels (Zaventem),Malpensa T1,Olbia,London (Stansted),Katowice,Rabat,Stuttgart Airport,Zurich Airport,Castellon,Zaragoza,Baneasa Airport,Cuneo,Aqaba Aiport,Basel,Karlsruhe (Baden-Baden),Tenerife (North),Santander,Tenerife (South),Kaunas,Lviv Airport,Lamezia,Eindhoven,Aalborg Airport,Barcelona El Prat T2,Podgorica,Aarhus,Warsaw (Modlin),Oradea Airport,Megas Alexandros Airport,Grenoble,Poznań,Targu Mures,Arlanda Airport,London (Gatwick),Southend Airport,Bratislava,Schedule Test ABC,Clermont (Ferrand),Sola Airport,Arad,Santorini Airport,BerlinTegel,Valencia,Seville,Zakinthos,Brindisi,Budapest T2B,Corfu,Valladolid,Genoa,Murcia,Aberdeen,Cardiff,Ibiza,Skelleftea,Lanzarote,Memmingen (Munich West),Lyon Satolas Airport,Munster,Rodez,Cologne (Bonn),Limoges,Paris (Beauvais),Landvetter Airport,Rinas Airport,Berlin (Brandenburg),Lille,Brive,Hannover Airport,Brest,Paderborn Airport,Athens,Hamburg,Kos,Lisbon,Patras (Araxos),Strasbourg,Haugesund,Nîmes,Kharkov Airport,Berlin (Schonefeld) T D,Malta,Reus (Barcelona),Prague,Rovaniemi Airport,Crete (Chania),Belfast International Airport,Porto,Vilnius,East Midlands,Rome (Ciampino),Jerez,Pisa,Knock,Durham Tees,Kristianstad,Pescara,Comiso,Volos,Milan (Bergamo),Kerry,Malmö,Dole,Belfast (City),Turku T2,Salzburg,Dalaman Airport,Girona (Barcelona),Paris (Vatry),Groningen,Cork,Granada,Warsaw (Chopin),Graz,Szczecin,Birmingham,Olsztyn-Mazury,Tallinn,Wroclaw,Toulon,Gothenburg (City),Rhodes,Ponta Delgada Airport,Toulouse Airport,Agadir,Tel Aviv Airport,Pau,Froesoe Airport,Oslo (Rygge),Angelholm,Plovdiv,Osijek,Bilbao,Oslo Airport,Malaga,Biarritz,Alexandropoulis,Humberside,Bydgoszcz,Pardubice Airport,Thessaloniki,Ostrava,Ostend,Perugia,Frankfurt International Airport,Heraklion Crete,Faro,Pula,Tampere,Newquay,Beziers,Naples Airport,Rzeszów,Cluj Airport,Riga,Bologna (Forli),Norrköping,Varna Airport,Alghero,Montpellier,Dinard,Bucharest (Otopeni),Düsseldorf (Weeze),Tangier,Milas Airport,Gdańsk,Kalmar,Rijeka,Ternopol Airport,Verona,Klagenfurt,Kalamata,Figari,Paphos,Linz,Antalya Airport,Odessa-Central Airport,Oujda,Deauville-Normandy,Verona (Brescia),Jonkoping (Axamo),Perpignan,Madrid T1,Nice T1,Rome (Fiumicino) T3,Mahon,Newcastle,Stockholm (Vasteras),Constanta,Erfurt Airport,Venice (Marco Polo),Manchester T3,Gran Canaria,Asturias,Nantes,Blackpool,Billund,Bologna,Liverpool,Friedrichshafen,Esbjerg,Rostock,Lappeenranta,Frankfurt (Hahn),Marseille T2,Shannon,Ovda,Trapani,Fuerteventura,St. Etienne,Nador,Nuremberg,Maribor,Essaouira,Balaton,Mykonos Airport,Sofia T2,Maastricht,Rimini,Glasgow (Prestwick),Alicante,Copenhagen T2,Fez,Poitiers,Murcia Intl Airport,Eilat (Ramon),Lleida,La Rochelle,Dresden Airport,Oslo (Torp),Leeds Bradford,Edinburgh,Hamburg (Lübeck),Banja Luka Airport,Lorient Airport,Le Bourget Airport,Turin,Doncaster,Trieste,Bordeaux,Rennes Airport,Dubrovnik Airport,Split Airport,Bournemouth,Munich International,Burgas Airport,Ciudad Real,Amman Airport,Norwich Airport,Tbilisi International Airport,Venice (Treviso),Amsterdam-Schiphol Airport,Cagliari,Larnaca,Lodz,Timisoara Airport,Craiova Airport,Angoulême,Brussels (Charleroi),Dortmund,Vigo Airport,Nis Airport,Krakow,Crotone,London (Luton),Innsbruck Airport,Kefalonia,Lourdes,Smaland (Vaxjo),Ouarzazate Airport,Dublin T1,Inverness,Palanga International Airport,Sania Ramel Airport,Altenburg,Kyiv-Borispol Airport,Barca Airport,Ancona,Karlstad,Magdeburg (Cochstedt),Bergerac,Derry,Duesseldorf International,Tours,Stockholm (Skavsta),Carcassonne,Parma,Palma Mallorca,Luxembourg Airport,Leipzig (Halle),Lublin,Catania,Almeria,Palermo,Vienna,Bremen,Bari,Zadar,Glasgow International T2,Marrakesh
-490905,-504403,-425347,-384524,-425247,-491234,-512254,-505405,-453748,-405355,-515300,-502900,-340300,-484124,-472730,-395900,-413958,-443000,-443251,-293700,-473524,-484646,-282858,-432545,-280240,-545752,-494900,-385430,-512712,-570535,-411749,-422130,-561800,-522704,-470139,-405448,-452146,-522453,-463200,-593943,-510853,-513422,-481000,-385655,-454709,-585247,-461100,-362357,-523338,-392925,-372505,-374503,-403938,-472600,-393607,-414222,-442448,-374629,-571215,-512351,-385225,-643730,-285615,-475933,-454332,-520805,-442200,-505157,-455139,-492721,-574000,-412501,-522201,-503352,-450853,-522740,-482650,-513654,-375611,-533749,-364736,-384655,-380904,-483200,-592038,-434500,-495600,-522200,-355114,-410900,-500603,-663347,-353154,-543912,-411428,-543800,-524948,-414758,-364441,-434058,-535437,-543100,-555510,-422614,-365930,-391311,-454008,-521051,-553140,-470300,-543700,-603051,-474735,-364300,-415403,-484604,-530713,-515029,-371119,-521000,-465937,-533500,-522711,-522610,-592448,-510600,-430600,-574606,-362420,-374450,-433749,-301952,-320044,-432248,-631155,-592244,-561735,-420404,-452749,-431810,-601200,-364018,-432811,-405121,-533500,-530548,-500048,-403111,-494148,-511159,-430550,-500220,-352023,-370052,-445330,-612504,-502626,-431927,-405304,-500700,-464700,-565530,-441144,-583500,-431355,-403752,-433451,-483516,-443400,-513620,-354300,-371500,-542241,-564106,-451257,-493400,-452347,-463835,-370406,-413000,-344305,-481400,-365420,-462600,-344700,-492146,-452544,-574531,-424427,-402820,-433950,-414801,-395141,-550216,-593521,-442100,-505847,-453019,-532112,-275555,-433400,-470930,-534619,-554418,-443151,-532018,-474002,-553135,-535505,-610246,-495700,-432608,-524207,-295600,-375443,-282709,-453229,-345921,-492955,-463300,-312411,-464110,-372606,-424142,-505440,-440110,-553011,-381700,-553629,-335600,-463510,-374736,-294332,-414341,-461050,-510800,-591100,-535155,-555655,-534819,-445600,-474540,-485819,-451209,-532831,-454939,-444946,-480407,-423348,-433130,-504650,-482114,-423411,-385137,-314300,-524100,-414000,-453903,-521830,-391450,-345230,-514319,-454900,-441908,-454400,-502733,-513100,-421335,-432002,-500500,-385948,-515300,-471537,-380712,-431055,-565600,-305500,-532517,-573233,-555700,-353500,-505900,-502100,-484000,-433700,-592649,-515121,-445100,-550236,-511652,-472542,-584706,-431300,-444920,-393306,-493740,-512557,-511419,-372800,-365040,-381055,-480640,-530248,-410817,-440552,-555200,-313630
-164140,-32518,-82455,-270539,-24345,-72402,-24232,-42904,-84323,-93104,-1400,-190500,-64525,-91319,-83306,-300,-10230,-260600,-73723,-350100,-73148,-80450,-162030,-34935,-163421,-240429,-235100,-161430,-52320,-95100,-20442,-191507,-103708,-203906,-215411,-243709,-51947,-164943,-243200,-175602,-1148,-4205,-171300,-15149,-31003,-53805,-211600,-252846,-131744,-2843,-55335,-205303,-175653,-191400,-195442,-45107,-85015,-4840,-21153,-32048,-12222,-210442,-133613,-101437,-50454,-74105,-23100,-70834,-11049,-20645,-121700,-194300,-133001,-30517,-12825,-94106,-42514,-83716,-235640,-95918,-270530,-90800,-212532,-73800,-51253,-42500,-361700,-133000,-142859,-11010,-141536,-254936,-240859,-61329,-84045,-251700,-11946,-123550,-60336,-102344,-84907,-12500,-140520,-141114,-143625,-224740,-94201,-93126,-132207,-52600,-55300,-221614,-130020,-284700,-24538,-41204,-63432,-82928,-34638,-205800,-152624,-145400,-14447,-205618,-244957,-165300,-60900,-115204,-280510,-254055,-12154,-92434,-345257,-2507,-142940,-104708,-125145,-245103,-184834,-25518,-110500,-42953,-13122,-255723,-2100,-175843,-154419,-225815,-180656,-25149,-123037,-83414,-251049,-75815,-135525,-233712,-45943,-32116,-141727,-220100,-234100,-235820,-120411,-161500,-274930,-81719,-35803,-20501,-260600,-60900,-55500,-274100,-182803,-161714,-143406,-253600,-105317,-142030,-220132,-90600,-322909,-141115,-304726,-304100,-15600,-951,-101950,-140419,-25218,-33348,-71303,-121420,-41255,-14112,-163750,-282900,-105729,-122107,-21636,-152312,-60200,-13635,-30210,-90900,-111749,-25200,-93045,-83309,-121642,-280924,-71600,-51259,-85529,-345650,-122936,-135149,-41749,-30140,-110401,-153900,-94117,-170933,-252053,-232430,-54625,-123634,-43432,-3400,-123800,-45800,-1823,-10825,-350228,-3207,-11109,-134600,-101600,-13917,-32101,-104309,-171800,-32621,-22633,-73858,-10014,-132820,-4252,-14353,-181555,-161732,-15013,-114710,-273055,-35933,-360000,-11700,-445700,-121152,-44605,-90322,-333729,-192354,-212000,-235311,-1300,-42714,-73600,-83740,-215106,-194700,-170445,-2106,-112038,-203002,-13,-144400,-65500,-61612,-40254,-210500,-51900,-122700,-305500,-211500,-132137,-132029,-112505,-2900,-70912,-64510,-4339,-165525,-21900,-101743,-24420,-61224,-121430,-224248,-150350,-22220,-130558,-163330,-84724,-164554,-152124,-42600,-80218
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15.875,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.605,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11.255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31.815,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,37.57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21.815,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22.42,-1,-1,-1,-1,-1,18.49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18.49,15.405,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19.05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33.16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22.42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16.03,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16.03,-1,-1,-1,-1,-1,-1,-1,-1,-1,19.05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12.33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20.96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19.425,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24.015,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16.81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16.03,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15.695,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20.18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11.98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,25.21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35.15,26.19,-1,-1,-1,-1,-1,-1,-1,23.87,-1,-1,-1,24.93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22.935,21.815,-1,-1,28.59,-1,-1,-1,-1,-1,-1,15.76,-1,35.15,-1,-1,-1,-1,23.91,15.76,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24.24,-1,-1,-1,21.815,-1,-1,-1,-1,-1,-1,-1,15.76,-1,-1,-1,-1,-1,19.86,-1,-1,-1,-1,-1,-1,-1,18.175,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24.14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22.935,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18.175,-1,-1,-1,12.11,-1,26.09,-1,-1,-1,-1,-1,-1,-1,-1,33.67,-1,-1,-1,24.14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15.76,-1,35.15,-1,-1,-1,-1,9.68,-1,-1,-1,-1,-1,-1,-1,12.11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,37.185,-1,-1,-1,22.935,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24.14,-1,-1,-1,-1,-1,-1,-1,18.175,-1,-1,-1,-1,-1,-1,-1,-1,-1,27.87,-1,-1,-1,-1,-1,-1,15.76,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
