AAR,ACE,AGA,AGP,AHO,ALC,AOI,ATH,BCN,BDS,BES,BGY,BHX,BIQ,BLL,BLQ,BOD,BOH,BRE,BRI,BRQ,BRS,BRU,BSL,BTS,BUD,BVA,BVE,BZG,BZR,CAG,CCF,CFE,CFU,CGN,CHQ,CIA,CIY,CRL,CRV,CTA,CUF,CWL,DLE,DNR,DOL,DTM,DUB,EBU,EDI,EFL,EGC,EIN,EMA,ESU,FAO,FCO,FEZ,FKB,FMM,FMO,FNI,FSC,FUE,GDN,GNB,GOA,GPA,GRO,HAU,HHN,IBZ,KGS,KIR,KLX,KRK,KTW,KUN,LBA,LCJ,LDE,LDY,LEI,LEJ,LGW,LIG,LIL,LIS,LNZ,LPA,LPL,LPP,LRH,LTN,LUZ,MAD,MAH,MAN,MJV,MLA,MPL,MRS,MST,MXP,NCE,NCL,NDR,NOC,NRN,NTE,NUE,NYO,OPO,ORK,OSI,OSR,OTP,OUD,PDV,PEG,PFO,PGF,PIK,PIS,PMF,PMI,PMO,POZ,PRG,PSA,PSR,PUY,RAK,RBA,RDZ,REU,RHO,RIX,RJK,RYG,RZE,SCQ,SDR,SFT,SKG,SNN,STN,SUF,SVQ,SXB,SXF,SZG,SZZ,TFN,TFS,TGD,TLL,TLN,TMP,TNG,TPS,TRF,TRN,TRS,TSF,TUF,VLC,VLL,VNO,VRN,VST,VXO,WMI,WRO,XCR,XRY,ZAD,ZAZ,ZTH,GLA,CPH,HAM,GOT,PDL,LRT,JTR,STR,CDT,VDA,SOF,AMS
Aarhus,Lanzarote,Agadir,Malaga,Alghero,Alicante,Ancona,Athens,Barcelona El Prat,Brindisi,Brest,Milan Bergamo,Birmingham,Biarritz,Billund,Bologna,Bordeaux,Bournemouth,Bremen,Bari,Brno,Bristol,Brussels Zaventem,Basel,Bratislava,Budapest,Paris Beauvais,Brive,Bydgoszcz,Beziers,Cagliari,Carcassonne,Clermont Ferrand,Corfu,Cologne,Chania,Rome Ciampino,Comiso,Brussels Charleroi,Crotone,Catania,Cuneo,Cardiff,Dole,Dinard,Deauville-Normandy,Dortmund,Dublin,St Etienne,Edinburgh,Kefalonia,Bergerac,Eindhoven,East Midlands,Essaouira,Faro,Rome Fiumicino,Fez,Baden-Baden,Memmingen (Munich West),Münster,Nimes,Figari,Fuerteventura,Gdansk,Grenoble,Genoa,Patras (Araxos),Girona Barcelona,Haugesund,Frankfurt Hahn,Ibiza,Kos,Kerry,Kalamata,Krakow,Katowice,Kaunas,Leeds Bradford,Lodz,Lourdes,Derry,Almeria,Leipzig,London Gatwick,Limoges,Lille,Lisbon,Linz,Gran Canaria,Liverpool,Lappeenranta,La Rochelle,London Luton,Lublin,Madrid,Menorca,Manchester,Murcia,Malta,Montpellier,Marseille Provence,Maastricht,Milan Malpensa,Nice,Newcastle,Nador,Knock Ireland West,Dusseldorf Weeze,Nantes,Nuremberg,Stockholm Skavsta,Porto,Cork,Osijek,Ostrava,Bucharest (Otopeni),Oujda,Plovdiv,Perugia,Paphos,Perpignan,Glasgow Prestwick,Poitiers,Parma,Palma,Palermo,Poznan,Prague,Pisa,Pescara,Pula,Marrakesh,Rabat,Rodez,Reus Barcelona,Rhodes,Riga,Rijeka,Oslo Rygge,Rzeszow,Santiago,Santander,Skelleftea,Thessaloniki,Shannon,London Stansted,Lamezia,Seville,Strasbourg,Berlin Schonefeld,Salzburg,Szczecin,Tenerife North,Tenerife Sth,Podgorica,Tallinn,Toulon,Tampere,Tangier,Trapani,Oslo Torp,Turin,Trieste,Venice Treviso,Tours Loire Valley,Valencia,Valladolid,Vilnius,Verona,Stockholm Vasteras,Växjö,Warsaw Modlin,Wroclaw,Paris Vatry,Jerez,Zadar,Zaragoza,Zakynthos,Glasgow International,Copenhagen,Hamburg,Gothenburg Landvetter,Ponta Delgada,Lorient,Santorini National,Stuttgart,Castellon,Eilat (Ovda),Sofia,Amsterdam
56.3,28.9455,30.325,36.6749,40.6321,38.2822,43.6163,37.9364,41.2971,40.6576,48.4479,45.6739,52.4539,43.4684,55.7403,44.5354,44.8283,50.78,53.0475,41.1389,49.1513,51.3827,50.9014,47.5896,48.1702,47.4369,49.4544,45.1508,53.0968,43.3235,39.2515,43.216,45.7867,39.6019,50.8659,35.5317,41.7994,36.9946,50.4592,38.99722,37.4668,44.547,51.3967,47.039,48.5877,49.3653,51.5183,53.4213,45.5406,55.95,38.1201,44.8253,51.4501,52.8311,31.3918,37.0144,41.8045,33.9273,48.7794,47.9888,52.1346,43.7574,41.5006,28.4527,54.3776,45.3629,44.4133,38.1511,41.901,59.3453,49.9487,38.8729,36.7933,52.1809,37.0683,50.0777,50.4743,54.9639,53.8659,51.7219,43.1787,55.0428,36.8439,51.4324,51.1481,45.8628,50.5619,38.7813,48.2332,27.9319,53.3336,61.0446,46.1792,51.8747,51.2319,40.4936,39.8626,53.3537,37.775,35.8575,43.5762,43.4393,50.9117,45.63,43.6584,55.0375,34.9888,53.9103,51.6024,47.1532,49.4987,58.7886,41.2481,51.8413,45.4627,49.6963,44.5722,34.7872,42.0678,43.0959,34.718,42.7404,55.5094,46.5877,44.8245,39.5517,38.176,52.421,50.1008,43.6839,42.4317,44.8935,31.6069,34.0515,44.4079,41.1474,36.4054,56.9236,45.2169,59.3789,50.11,42.8963,43.4271,64.6248,40.5197,52.702,51.885,38.9054,37.418,48.5383,52.38,47.7933,53.5847,28.4827,28.0445,42.3594,59.4133,43.0917,61.4141,35.7269,37.9114,59.1867,45.2008,45.8275,45.6484,47.4322,39.4893,41.7061,54.6341,45.3957,59.5894,56.9291,52.4511,51.1027,48.7761,36.7446,44.1083,41.6662,37.7509,55.67194,55.6181,53.63028,57.6741,37.74194,47.7588,36.3992,48.69,39.999,29.9402,42.67,52.3105
10.619,-13.6052,-9.41307,-4.49911,8.29077,-0.558156,13.3623,23.9445,2.07846,17.947,-4.41854,9.70417,-1.74803,-1.52332,9.15178,11.2887,-0.715556,-1.8425,8.78667,16.7606,16.6944,-2.71909,4.48444,7.52991,17.2127,19.2556,2.11278,1.46917,17.9777,3.3539,9.05428,2.30632,3.16917,19.9117,7.14274,24.1497,12.5949,14.6072,4.45382,17.08028,15.0664,7.62322,-3.34333,5.42725,-2.07996,0.154306,7.61224,-6.27007,4.29639,-3.3725,20.5005,0.518611,5.37453,-1.32806,-9.6757,-7.96591,12.2508,-4.97796,8.0805,10.2395,7.68483,4.41635,9.09778,-13.8638,18.4662,5.32937,8.8375,21.4256,2.76055,5.20836,7.26389,1.37312,27.0917,-9.52378,22.0255,19.7848,19.08,24.0848,-1.66057,19.3981,-0.006439,-7.16111,-2.3701,12.2416,-0.190278,1.17944,3.08944,-9.13592,14.1875,-15.3866,-2.84972,28.1444,-1.19528,-0.368333,22.6903,-3.56676,4.21865,-2.27495,-0.812389,14.4775,3.96301,5.22142,5.77014,8.7231,7.21587,-1.69167,-3.02821,-8.81849,6.14217,-1.61073,11.0669,16.9122,-8.68139,-8.49111,18.8102,18.1111,26.1022,-1.92399,24.8508,12.5132,32.4857,2.87067,-4.58667,0.306666,10.2964,2.73881,13.091,16.8263,14.26,10.3927,14.1811,13.9222,-8.0363,-6.75152,2.48267,1.16717,28.0862,23.9711,14.5703,10.7856,22.019,-8.41514,-3.82001,21.0769,22.9709,-8.92482,0.235,16.2423,-5.89311,7.62823,13.5225,13.0043,14.9022,-16.3415,-16.5725,19.2519,24.8328,6.141,23.6044,-5.91689,12.488,10.2586,7.64963,13.4722,12.1944,0.727606,-0.481625,-4.85194,25.2858,10.8885,16.6336,14.728,20.6517,16.8858,4.18449,-6.06011,15.3467,-1.04155,20.8843,-4.43306,12.6561,9.99111,12.2925,-25.69778,-3.4378,25.4793,9.2219,0.026,34.9358,23.35,4.76827
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,835,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,1974,-1,-1,2757,2790,-1,-1,2795,-1,-1,-1,-1,-1,2654,-1,-1,-1,-1,2640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2831,-1,-1,-1,-1,-1,-1,-1,-1,2786,-1,3110,-1,-1,2957,2840,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2922,-1,-1,-1,-1,-1,-1,-1,2935,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2850,-1,-1,2774,-1,1575,-1,2866,-1,-1,-1,-1,-1,-1,-1,-1,-1,2802,3004,-1,-1,-1,-1,2580,-1,-1,-1,-1,-1,-1,-1,-1,3039,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1619,1831,-1,-1,2669,2796,-1,1183,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1623,-1,-1,-1,-1,-1,-1,-1,-1,-1,1812,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2518,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1948,-1,-1,-1,-1,-1,-1,2689,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,765,-1,-1,1549,1767,-1,2356,1589,-1,1582,2092,-1,-1,1641,1735,-1,2180,-1,1517,-1,-1,-1,-1,-1,-1,-1,1829,-1,1575,-1,1691,-1,-1,-1,-1,-1,-1,-1,1907,1867,-1,2144,-1,-1,1818,1813,-1,-1,1547,-1,1688,1740,1966,-1,-1,-1,-1,-1,-1,-1,-1,2615,1751,570,-1,-1,-1,2445,-1,-1,1924,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1856,-1,-1,-1,-1,-1,-1,1862,-1,-1,-1,1116,-1,-1,-1,-1,-1,1945,1859,-1,1897,2906,-1,1715,-1,-1,-1,-1,-1,-1,-1,-1,2094,-1,-1,709,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2753,-1,768,753,-1,-1,1815,1731,-1,-1,-1,2243,-1,-1,-1,-1,-1,-1,-1,3374,-1,-1,2719,-1,-1,1711,-1,-1,-1,-1,-1,2963,-1,2630,2331,-1,-1,-1,-1,-1,-1,2471,2191,2641,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,533,-1,-1,-1,-1,572,-1,-1,-1,498,-1,-1,-1,-1,-1,-1,-1,-1,1096,-1,1093,-1,-1,-1,-1,-1,-1,-1,-1,-1,382,-1,1132,-1,-1,438,-1,-1,-1,-1,1211,1792,-1,-1,-1,-1,1223,-1,-1,-1,-1,-1,-1,832,-1,-1,-1,-1,-1,-1,-1,-1,483,-1,1039,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1230,-1,-1,2107,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,380,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1394,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,510,713,641,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1916,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1179,1578,-1,2071,1206,-1,1393,1791,-1,-1,1466,1458,-1,-1,-1,1260,-1,-1,-1,-1,-1,-1,-1,1524,-1,1184,-1,1410,-1,-1,-1,-1,-1,-1,-1,-1,1739,-1,1975,-1,-1,1535,1618,-1,-1,1157,-1,1357,1387,-1,-1,-1,-1,2294,-1,-1,-1,-1,2377,1437,-1,-1,1694,-1,2074,2055,2616,1734,-1,-1,1928,-1,-1,-1,-1,-1,-1,-1,-1,1682,-1,-1,-1,-1,-1,-1,1681,-1,-1,-1,-1,1489,-1,-1,1865,-1,1847,1570,-1,1552,2600,-1,1629,-1,-1,-1,-1,-1,-1,-1,-1,1939,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2480,-1,838,-1,-1,-1,1728,1513,-1,-1,-1,1908,-1,-1,-1,-1,-1,-1,-1,3062,-1,-1,2448,-1,-1,-1,-1,-1,-1,-1,-1,2663,2356,2270,1973,-1,-1,-1,-1,-1,-1,2164,1886,2349,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,533,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1015,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1038,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1341,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,638,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
